Estacao,Data,Hora,TempMaxima,TempMinima,Temp Comp Media,
82795,13/11/2016,0000,31.2,,24.18,
82795,13/11/2016,1200,,19.8,,
82795,14/11/2016,0000,31.2,,24.28,
82795,14/11/2016,1200,,19.5,,
82795,15/11/2016,0000,30.8,,24.06,
82795,15/11/2016,1200,,19.5,,
82795,16/11/2016,0000,31.3,,24.42,
82795,16/11/2016,1200,,20.3,,
82795,17/11/2016,0000,32,,24.56,
82795,17/11/2016,1200,,20.4,,
82795,18/11/2016,0000,32.3,,24.7,
82795,18/11/2016,1200,,20.3,,
82795,19/11/2016,0000,31.7,,24.4,
82795,19/11/2016,1200,,19.4,,
82795,20/11/2016,0000,31.3,,25.2,
82795,20/11/2016,1200,,20.8,,
82795,21/11/2016,0000,31.7,,24.4,
82795,21/11/2016,1200,,19.9,,
82795,22/11/2016,0000,31.7,,24.22,
82795,22/11/2016,1200,,19.5,,
82795,23/11/2016,0000,31.3,,24.1,
82795,23/11/2016,1200,,19.9,,
82795,24/11/2016,0000,32.1,,24.48,
82795,24/11/2016,1200,,19.6,,
82795,25/11/2016,0000,31.7,,24.42,
82795,25/11/2016,1200,,19.5,,
82795,26/11/2016,0000,31.6,,24.58,
82795,26/11/2016,1200,,20,,
82795,27/11/2016,0000,31.5,,24.64,
82795,27/11/2016,1200,,20.1,,
82795,28/11/2016,0000,30.6,,24.16,
82795,28/11/2016,1200,,18.6,,
82795,29/11/2016,0000,31.7,,24.28,
82795,29/11/2016,1200,,19.6,,
82795,30/11/2016,0000,31.8,,24.48,
82795,30/11/2016,1200,,19.9,,
82795,01/12/2016,1200,,20.3,,
82795,02/12/2016,0000,32.5,,24.98,
82795,02/12/2016,1200,,20,,
82795,03/12/2016,0000,31.8,,24.5,
82795,03/12/2016,1200,,19.8,,
82795,04/12/2016,0000,32.4,,24.18,
82795,04/12/2016,1200,,19.6,,
82795,05/12/2016,0000,32.8,,25.02,
82795,05/12/2016,1200,,20.3,,
82795,06/12/2016,0000,33.3,,25.32,
82795,06/12/2016,1200,,20.5,,
82795,07/12/2016,0000,33.2,,25.16,
82795,07/12/2016,1200,,20.5,,
82795,08/12/2016,0000,33.3,,25.4,
82795,08/12/2016,1200,,20.6,,
82795,09/12/2016,0000,32.1,,25.02,
82795,09/12/2016,1200,,20.8,,
82795,10/12/2016,0000,32,,24.76,
82795,10/12/2016,1200,,20.5,,
